model,validation_f1,feature_count,evaluation_split,sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci
vol_threshold,0.12244897959183673,1,validation,0.08571428571428572,0.21428571428571427,0.12244897959183673,0.20114942528735633,0.07272404466081261,0.4133928571428571,0.5,0.16666666666666666,0.25,6.0,2.0,0.16666666666666666,4.0,0.040229885057471264,0.021063891185178808,"{'pr_auc': (0.04419704755918573, 0.10373584563865228), 'sample_f1': (0.0, 0.1946465163934426)}"
gcn_fusion,0.10526315789473684,91,validation,0.2,0.07142857142857142,0.10526315789473684,0.028735632183908046,0.2939525086343306,0.7700892857142858,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0,3.0,0.3333333333333333,1.5,0.08045977011494253,0.6,"{'pr_auc': (0.20615711237289755, 0.3726222724445152), 'sample_f1': (0.0, 0.18181818181818182)}"
rf_topology,0.10526315789473684,80,validation,0.2,0.07142857142857142,0.10526315789473684,0.028735632183908046,0.2144922769096524,0.7176339285714286,0.3333333333333333,0.16666666666666666,0.2222222222222222,6.0,3.0,0.3333333333333333,1.5,0.08045977011494253,0.3,"{'pr_auc': (0.13462358706442198, 0.36510283396056437), 'sample_f1': (0.0, 0.25)}"
gcn_graph,0.0,0,validation,0.0,0.0,0.0,0.0,0.1424451827747425,0.6357142857142858,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.55,"{'pr_auc': (0.10104469516478319, 0.21985018406263307), 'sample_f1': (0.0, 0.0)}"
rf_combined,0.0,91,validation,0.0,0.0,0.0,0.0,0.10175061653818565,0.5924107142857142,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.35,"{'pr_auc': (0.06750016372805559, 0.14890034552934542), 'sample_f1': (0.0, 0.0)}"
