sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci,symbol,model
0.14814814814814814,0.6,0.2376237623762376,0.4576271186440678,0.20577188600236712,0.6767515923566879,0.5384615384615384,0.6153846153846154,0.5743589743589744,13.0,13.0,0.8461538461538461,2.6363636363636362,1.694915254237288,0.5,{},DBC,gcn_fusion
0.13725490196078433,0.5,0.2153846153846154,0.288135593220339,0.1257053083385622,0.6682734443470639,0.2857142857142857,0.4444444444444444,0.34782608695652173,9.0,7.0,0.5555555555555556,4.8,1.4124293785310735,0.5,{},EEM,gcn_fusion
0.11320754716981132,0.375,0.17391304347826086,0.2994350282485876,0.10801772531934192,0.5364906832298136,0.35714285714285715,0.5,0.41666666666666663,10.0,14.0,0.6,2.3333333333333335,2.542372881355932,0.5,{},GLD,gcn_fusion
0.15555555555555556,0.6363636363636364,0.25,0.25862068965517243,0.2646647785192677,0.7423312883435583,0.6,0.6666666666666666,0.631578947368421,6.0,5.0,0.6666666666666666,4.25,0.5747126436781609,0.5,{},HYG,gcn_fusion
0.2,0.625,0.30303030303030304,0.423728813559322,0.23422729519057847,0.690359477124183,0.42857142857142855,0.6875,0.528,16.0,14.0,0.875,3.5714285714285716,2.2598870056497176,0.5,{},IEF,gcn_fusion
0.18018018018018017,1.0,0.3053435114503817,0.6271186440677966,0.2620381152915057,0.7321656050955414,0.625,1.0,0.7692307692307693,17.0,8.0,1.0,4.411764705882353,0.847457627118644,0.5,{},LQD,gcn_fusion
0.18604651162790697,0.8,0.3018867924528302,0.24293785310734464,0.15905650707330268,0.8197604790419162,0.45454545454545453,1.0,0.625,5.0,11.0,1.0,2.8,1.694915254237288,0.5,{},QQQ,gcn_fusion
0.10810810810810811,0.7272727272727273,0.18823529411764706,0.4180790960451977,0.1437654543108639,0.7595837897042717,0.5,0.8333333333333334,0.625,6.0,8.0,0.8333333333333334,4.0,1.1299435028248588,0.5,{},SPY,gcn_fusion
0.17647058823529413,0.782608695652174,0.288,0.576271186440678,0.22287324375938927,0.67871259175607,0.5454545454545454,0.8421052631578947,0.6620689655172414,19.0,11.0,0.9473684210526315,4.5,1.4124293785310735,0.5,{},TLT,gcn_fusion
0.09917355371900827,0.8571428571428571,0.17777777777777778,0.6914285714285714,0.10717694845180094,0.6193433895297249,0.6666666666666666,0.8888888888888888,0.761904761904762,9.0,6.0,0.8888888888888888,4.875,0.5714285714285714,0.5,{},UUP,gcn_fusion
0.11428571428571428,0.6153846153846154,0.1927710843373494,0.3954802259887006,0.10624583830335015,0.6383677298311445,0.38461538461538464,0.8571428571428571,0.5309734513274336,7.0,13.0,0.8571428571428571,2.3333333333333335,2.2598870056497176,0.5,{},XLE,gcn_fusion
0.10909090909090909,0.8571428571428571,0.1935483870967742,0.6214689265536724,0.23960341665626556,0.7822085889570551,0.6666666666666666,0.875,0.7567567567567567,8.0,6.0,0.875,4.142857142857143,0.5649717514124294,0.5,{},XLF,gcn_fusion
0.1258741258741259,0.9473684210526315,0.2222222222222222,0.807909604519774,0.2326044895342826,0.6598934043970686,0.4,0.9090909090909091,0.5555555555555556,11.0,10.0,1.0,4.636363636363637,1.694915254237288,0.5,{},^VIX,gcn_fusion
0.10655737704918032,0.65,0.18309859154929578,0.6892655367231638,0.08968885267299052,0.36496815286624207,0.5555555555555556,0.8461538461538461,0.6707317073170732,13.0,9.0,0.8461538461538461,4.0,1.1299435028248588,0.00963205078894153,{},DBC,vol_threshold
