model,validation_f1,feature_count,evaluation_split,sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci
gcn_fusion,0.234472049689441,112,validation,0.13994439295644115,0.722488038277512,0.234472049689441,0.46994773519163763,0.1553854829085752,0.6913096108743348,0.4666666666666667,0.7777777777777778,0.5833333333333334,135.0,120.0,0.8740740740740741,4.016949152542373,1.3937282229965156,0.5,"{'pr_auc': (0.13903349055100203, 0.18988045353349714), 'sample_f1': (0.2119523265662859, 0.26539621610341096)}"
vol_threshold,0.1208548268238762,1,validation,0.07142857142857142,0.3923444976076555,0.1208548268238762,0.5,0.07756924556269659,0.4297462303666122,0.47368421052631576,0.3925925925925926,0.42934293429342935,135.0,38.0,0.45185185185185184,4.344262295081967,0.4355400696864111,0.00963205078894153,"{'pr_auc': (0.05736632216227704, 0.09681534603551703), 'sample_f1': (0.08213570711743348, 0.15593115436756866)}"
rf_combined,0.09701492537313433,112,validation,0.22033898305084745,0.06220095693779904,0.09701492537313433,0.02569686411149826,0.1446253260831154,0.6300669673050073,0.27906976744186046,0.08888888888888889,0.1348314606741573,135.0,43.0,0.1925925925925926,1.9615384615384615,0.6750871080139372,0.15,"{'pr_auc': (0.12050587986058202, 0.18127714061611344), 'sample_f1': (0.05191777612392844, 0.13409550611203935)}"
rf_topology,0.01593625498007968,90,validation,0.047619047619047616,0.009569377990430622,0.01593625498007968,0.018292682926829267,0.1030399472796357,0.5530018363851869,0.05405405405405406,0.014814814814814815,0.023255813953488375,135.0,37.0,0.1037037037037037,2.7142857142857144,0.7621951219512195,0.2,"{'pr_auc': (0.07947842442588028, 0.13311104599978105), 'sample_f1': (0.0, 0.03409512489419558)}"
gcn_graph,0.0,0,validation,0.0,0.0,0.0,0.0,0.10436794839280172,0.5018833838090894,0.0,0.0,0.0,135.0,0.0,0.0,,0.0,0.5,"{'pr_auc': (0.08163807224588215, 0.14241287789070503), 'sample_f1': (0.0, 0.0)}"
