sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci,symbol,model
0.049586776859504134,0.5454545454545454,0.09090909090909091,0.6612021857923497,0.05338539765403837,0.40433403805496826,0.8,0.5555555555555556,0.6557377049180328,9.0,5.0,0.6666666666666666,3.8333333333333335,0.27322404371584696,0.00963205078894153,{},DBC,vol_threshold
0.09009009009009009,0.5882352941176471,0.15625,0.6065573770491803,0.08485866089414285,0.449326718639263,0.4,0.5714285714285714,0.47058823529411764,14.0,10.0,0.7142857142857143,4.1,1.639344262295082,0.00963205078894153,{},EEM,vol_threshold
0.06896551724137931,0.2727272727272727,0.11009174311926606,0.47540983606557374,0.14120964275293443,0.3966685488424619,0.5,0.4,0.4444444444444445,15.0,6.0,0.4666666666666667,4.142857142857143,0.819672131147541,0.00963205078894153,{},GLD,vol_threshold
0.0,0.0,0.0,0.0,0.0935666654348507,0.40641711229946526,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.00963205078894153,{},HYG,vol_threshold
0.0,0.0,0.0,0.0,0.11506401814901021,0.6190476190476191,0.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.00963205078894153,{},IEF,vol_threshold
0.0,0.0,0.0,0.0,0.1113156727696141,0.553968253968254,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.00963205078894153,{},LQD,vol_threshold
0.0472972972972973,0.5384615384615384,0.08695652173913043,0.8087431693989071,0.05990052490682392,0.3746606334841629,0.42857142857142855,0.625,0.5084745762711864,8.0,7.0,0.875,4.571428571428571,1.0928961748633879,0.00963205078894153,{},QQQ,vol_threshold
0.06451612903225806,0.26666666666666666,0.1038961038961039,0.33879781420765026,0.0782136747151814,0.42460317460317465,0.25,0.3333333333333333,0.28571428571428575,12.0,4.0,0.4166666666666667,5.0,0.819672131147541,0.00963205078894153,{},SPY,vol_threshold
0.13793103448275862,0.7058823529411765,0.23076923076923078,0.47540983606557374,0.17239933486292336,0.6530829199149539,0.3333333333333333,0.6666666666666666,0.4444444444444444,15.0,6.0,0.7333333333333333,4.454545454545454,1.0928961748633879,0.00963205078894153,{},TLT,vol_threshold
0.0,0.0,0.0,0.0,0.06482551138992838,0.42284934000910335,0.0,0.0,0.0,12.0,0.0,0.0,,0.0,0.00963205078894153,{},UUP,vol_threshold
