model,validation_f1,feature_count,evaluation_split,sample_precision,sample_recall,sample_f1,positive_rate,pr_auc,roc_auc,event_precision,event_recall,event_f1,true_event_count,pred_event_count,detected_event_rate,mean_lead_bars,false_alarms_per_day,threshold,bootstrap_ci
vol_threshold,0.1208548268238762,1,final_test,0.07757805108798486,0.422680412371134,0.1310951239008793,0.44486531986531985,0.08000032947973115,0.5051333780604194,0.4666666666666667,0.4444444444444444,0.45528455284552843,144.0,45.0,0.5208333333333334,4.533333333333333,0.505050505050505,0.00963205078894153,"{'pr_auc': (0.0645185500693053, 0.0979460436687169), 'sample_f1': (0.09409445986661702, 0.1665198181909466)}"
gcn_fusion,0.23114355231143552,112,final_test,0.11145996860282574,0.36597938144329895,0.17087845968712395,0.2680976430976431,0.10160831550506669,0.5618651194874653,0.38686131386861317,0.4027777777777778,0.3946591346771088,144.0,137.0,0.5277777777777778,3.460526315789474,1.7676767676767675,0.5,"{'pr_auc': (0.08678570390758422, 0.1262576715522615), 'sample_f1': (0.1425175229213234, 0.2004779251230702)}"
rf_combined,0.09701492537313433,112,final_test,0.16363636363636364,0.04639175257731959,0.07228915662650602,0.023148148148148147,0.10478454566408228,0.5662189233371446,0.22580645161290322,0.05555555555555555,0.08917197452229299,144.0,31.0,0.09722222222222222,2.7142857142857144,0.505050505050505,0.15,"{'pr_auc': (0.0839870497449366, 0.1321030558629637), 'sample_f1': (0.024188709677419356, 0.125)}"
rf_topology,0.01593625498007968,90,final_test,0.09523809523809523,0.020618556701030927,0.03389830508474576,0.017676767676767676,0.08239061139592695,0.5068567095353738,0.10256410256410256,0.027777777777777776,0.04371584699453552,144.0,39.0,0.1111111111111111,2.5,0.7365319865319865,0.2,"{'pr_auc': (0.06582439291603036, 0.10547892018779853), 'sample_f1': (0.0, 0.072)}"
gcn_graph,0.0,0,final_test,0.0,0.0,0.0,0.0,0.11164563163502668,0.559969336747711,0.0,0.0,0.0,144.0,0.0,0.0,,0.0,0.55,"{'pr_auc': (0.08071541976309532, 0.15787697105000756), 'sample_f1': (0.0, 0.0)}"
