model,validation_f1,feature_count,evaluation_split,pr_auc,event_f1,event_recall,false_alarms_per_day,mean_lead_bars,threshold,roc_auc,sample_precision,sample_recall,sample_f1,positive_rate,event_precision,true_event_count,pred_event_count,detected_event_rate,bootstrap_ci
vol_threshold,0.4039846835099675,0,walk_forward,0.0681926889346475,0.4039846835099675,0.38996533900881725,0.6,4.792723311546841,0.00809094824255309,,,,,,,,,,{}
gcn_fusion,0.3933293016000521,0,walk_forward,0.14293881011589032,0.3933293016000521,0.4431182730313165,1.2307692307692308,3.6401315789473685,0.4600000000000001,,,,,,,,,,{}
rf_topology,0.09693835091367761,0,walk_forward,0.1001945657414193,0.09693835091367761,0.07287747035573122,0.8,1.9819327731092438,0.22000000000000003,,,,,,,,,,{}
rf_combined,0.054800936768149885,0,walk_forward,0.09362957210673302,0.054800936768149885,0.03739130434782609,0.3538461538461538,2.2980769230769234,0.21000000000000002,,,,,,,,,,{}
gcn_graph,0.0,0,walk_forward,0.09565233629170926,0.0,0.0,0.0,,0.53,,,,,,,,,,{}
